time_index,set_point,measurement,proportional,integrator,differentiator
0.17960,10.000,0.861,4.569,1.000,0.000
0.18000,9.944,0.800,4.572,1.000,0.000
0.18040,9.421,0.842,4.289,1.000,0.000
0.18080,10.000,0.872,4.563,1.000,0.000
0.18120,9.784,0.808,4.488,1.000,0.000
0.18160,9.965,0.762,4.601,1.000,0.000
0.18200,9.933,0.727,4.602,1.000,0.000
0.18240,10.000,0.789,4.605,1.000,0.000
0.18280,9.917,0.834,4.541,1.000,0.000
0.18320,8.628,0.780,3.923,1.000,0.000
0.18360,10.000,0.741,4.629,1.000,0.000
0.18400,10.000,0.799,4.600,1.000,0.000
0.18440,9.967,0.841,4.562,1.000,0.000
0.18480,10.000,0.786,4.606,1.000,0.000
0.18520,9.914,0.745,4.584,1.000,0.000
0.18560,10.000,0.802,4.598,1.000,0.000
0.18600,10.000,0.843,4.578,1.000,0.000
0.18640,10.000,0.787,4.606,1.000,0.000
0.18680,9.474,0.832,4.320,1.000,0.000
0.18720,9.983,0.866,4.558,1.000,0.000
0.18760,10.000,0.803,4.598,1.000,0.000
0.18800,10.000,0.758,4.620,1.000,0.000
0.18840,10.000,0.811,4.594,1.000,0.000
0.18880,9.986,0.850,4.567,1.000,0.000
0.18920,10.000,0.878,4.560,1.000,0.000
0.18960,9.960,0.899,4.530,1.000,0.000
0.19000,9.426,0.914,4.255,1.000,0.000
0.19040,10.000,0.839,4.580,1.000,0.000
0.19080,10.000,0.784,4.607,1.000,0.000
0.19120,10.000,0.916,4.541,1.000,0.000
0.19160,10.000,0.927,4.536,1.000,0.000
0.19200,9.950,0.848,4.551,1.000,0.000
0.19240,10.000,0.877,4.561,1.000,0.000
0.19280,9.991,0.898,4.546,1.000,0.000
0.19320,10.000,0.913,4.543,1.000,0.000
0.19360,10.000,0.924,4.537,1.000,0.000
0.19400,9.932,0.933,4.499,1.000,0.000
0.19440,9.991,0.938,4.526,1.000,0.000
0.19480,10.000,0.943,4.528,1.000,0.000
0.19520,9.977,0.946,4.515,1.000,0.000
0.19560,10.000,0.862,4.568,1.000,0.000
0.19600,9.963,0.801,4.581,1.000,0.000
0.19640,9.974,0.842,4.565,1.000,0.000
0.19680,10.000,0.873,4.563,1.000,0.000
0.19720,9.985,0.895,4.544,1.000,0.000
0.19760,9.769,0.911,4.428,1.000,0.000
0.19800,10.000,0.923,4.538,1.000,0.000
0.19840,10.000,0.931,4.534,1.000,0.000
0.19880,10.000,0.851,4.574,1.000,0.000
0.19920,10.000,0.879,4.560,1.000,0.000
0.19960,10.000,0.900,4.549,1.000,0.000
0.20000,10.000,0.915,4.542,1.000,0.000
0.20040,10.000,0.925,4.537,1.000,0.000
0.20080,10.000,0.933,4.533,1.000,0.000
0.20120,9.986,0.939,4.523,1.000,0.000
0.20160,10.000,0.857,4.571,1.000,0.000
0.20200,9.983,0.797,4.593,1.000,0.000
0.20240,9.996,0.840,4.578,1.000,0.000
0.20280,10.000,0.871,4.564,1.000,0.000
0.20320,9.562,0.893,4.334,1.000,0.000
0.20360,10.000,0.910,4.544,1.000,0.000
0.20400,10.000,0.922,4.538,1.000,0.000
0.20440,9.958,0.931,4.513,1.000,0.000
0.20480,10.000,0.937,4.531,1.000,0.000
0.20520,9.968,0.942,4.513,1.000,0.000
0.20560,10.000,0.945,4.527,1.000,0.000
0.20600,10.000,0.948,4.525,1.000,0.000
0.20640,10.000,0.950,4.524,1.000,0.000
0.20680,9.968,1.037,4.465,1.000,0.000
0.20720,10.000,1.015,4.492,1.000,0.000
0.20760,9.975,0.912,4.531,1.000,0.000
0.20800,9.937,0.923,4.506,1.000,0.000
0.20840,9.971,0.932,4.519,1.000,0.000
0.20880,9.681,0.938,4.371,1.000,0.000
0.20920,10.000,0.942,4.528,1.000,0.000
0.20960,9.981,0.859,4.560,1.000,0.000
0.21000,9.926,0.885,4.520,1.000,0.000
0.21040,10.000,0.904,4.547,1.000,0.000
